Account username,Account name,Name,Category,Duration (sec),Publish time,Post type,Data comment,Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
datascienceucsb,Data Science UCSB,Week 1,Weekly,0,9/29/25 10:00,IG image,,Lifetime,8486,1145,47,10,0,0,8
datascienceucsb,Data Science UCSB,Fall Kickoff Reel,Event,23,9/29/25 12:06,IG reel,,Lifetime,3539,1418,62,8,0,11,1
datascienceucsb,Data Science UCSB,Popsicle Social,Social,0,10/2/25 10:00,IG image,,Lifetime,8512,1357,31,9,0,0,5
datascienceucsb,Data Science UCSB,Career Fair General,Event,0,10/3/25 11:05,IG carousel,,Lifetime,20487,3197,100,49,11,0,34
datascienceucsb,Data Science UCSB,Membership Reel,Announcement,16,10/4/25 15:10,IG reel,,Lifetime,38924,23698,512,800,17,20,60
datascienceucsb,Data Science UCSB,Week 2,Weekly,0,10/6/25 17:34,IG image,,Lifetime,8719,1416,31,4,0,1,7
datascienceucsb,Data Science UCSB,Sports Day,Social,0,10/9/25 9:00,IG image,,Lifetime,8429,1723,25,11,0,0,2
datascienceucsb,Data Science UCSB,Week 3,Weekly,0,10/13/25 10:00,IG carousel,,Lifetime,8066,1406,38,6,0,1,6
datascienceucsb,Data Science UCSB,Job Search,Event,0,10/15/25 11:52,IG image,,Lifetime,6563,1595,22,2,0,0,9
datascienceucsb,Data Science UCSB,Intern Application,Announcement,0,10/17/25 11:57,IG image,,Lifetime,6632,1416,22,5,0,0,7
datascienceucsb,Data Science UCSB,Officer Introduction,Announcement,0,10/20/25 11:37,IG carousel,,Lifetime,12735,1930,118,6,1,7,4
datascienceucsb,Data Science UCSB,Week 4,Weekly,0,10/20/25 13:36,IG carousel,,Lifetime,7165,1001,25,2,0,1,2
datascienceucsb,Data Science UCSB,Career Fair Sessions,Event,0,10/22/25 10:00,IG image,,Lifetime,5997,1216,31,3,0,0,4
datascienceucsb,Data Science UCSB,Week 5,Weekly,0,10/27/25 15:40,IG image,,Lifetime,3897,863,16,1,0,0,3
datascienceucsb,Data Science UCSB,Week 6,Weekly,0,11/3/25 12:57,IG carousel,,Lifetime,5098,866,20,3,0,0,4
datascienceucsb,Data Science UCSB,Biostatistics,Event,0,11/3/25 15:00,IG image,,Lifetime,3872,951,25,1,0,0,1
datascienceucsb,Data Science UCSB,Week 7,Weekly,0,11/10/25 12:05,IG image,,Lifetime,4830,1140,14,2,0,0,2
datascienceucsb,Data Science UCSB,Researcher Networking,Event,0,11/15/25 13:16,IG image,,Lifetime,6058,1643,37,11,0,0,3
datascienceucsb,Data Science UCSB,Week 8,Weekly,0,11/17/25 14:44,IG image,,Lifetime,3127,814,14,0,0,0,1
datascienceucsb,Data Science UCSB,Week 9,Weekly,0,11/24/25 17:22,IG image,,Lifetime,3537,863,7,0,0,0,0
datascienceucsb,Data Science UCSB,Intern Introductions,Announcement,0,12/18/25 13:36,IG image,,Lifetime,4407,1711,50,2,2,2,1
datascienceucsb,Data Science UCSB,Fall Kickoff,Event,0,9/26/25 10:00,IG image,,Lifetime,10823,2107,55,12,0,0,5